,Nome,Sobrenome,Nacionalidade,Posição,Clube,Liga,Idade,Ano em que nasceu,Jogos em que entrou,Jogos Iniciados,Minutos jogados,90 min jogados,Gols,Assistências,G+A,Gols Normais,Penâltis Batidos,Penâltis Tentados,Cartões Amarelos,Cartões Vermelhos,Gols esperados,Gols normais previstos,Gols Assistidos Esperados,"Gols esperados,exceto pênaltis,+gols assistidos",Carregada Progressiva,Passes Progressivos,Passes Progressivos Recebidos,Gols/90min,Assis/90min,(Gols+Assis)/90min,Gols Normais/90min,(Gols normais+Assis)/90min,Gols previstos por 90min,Gols Assistidos esperados em 90min, Gols esperados+gols previstos em 90min,Gols normais previstos em 90min,"Gols esperados,exceto pênaltis,+gols assistidos em 90min"
141,Leon,Bailey, JAM,"LT,AT",Aston Villa,Premier League,26,1997,16,6,699.0,7.8,5,5,10,5,0,0,3,3,2.7,2.7,3.5,"6,2",42.0,24.0,90.0,"0,64","0,64","1,29","0,64","1,29","0,35","0,46","0,80","0,35","0,80"
142,Nedim,Bajrami, ALB,"LT,AT",Sassuolo, Serie A,24,1999,14,7,617.0,6.9,1,0,1,1,0,0,0,0,1.0,1.0,1.0,"1,9",21.0,28.0,30.0,"0,15","0,00","0,15","0,15","0,15","0,14","0,14","0,28","0,14","0,28"
143,Tiemoué,Bakayoko, FRA,LT,Lorient, Ligue 1,29,1994,6,5,416.0,4.6,0,0,0,0,0,0,2,2,0.1,0.1,0.0,"0,1",2.0,11.0,6.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,00","0,02","0,02","0,02"
144,Mitchel,Bakker, NED,ZG,Atalanta, Serie A,23,2000,8,2,228.0,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,"0,1",9.0,6.0,12.0,"0,00","0,00","0,00","0,00","0,00","0,02","0,03","0,05","0,02","0,05"
145,Ridle,Baku, GER,"ZG,LT",Wolfsburg, Bundesliga,25,1998,16,9,904.0,10.0,0,0,0,0,0,0,2,2,0.6,0.6,1.6,"2,1",14.0,41.0,67.0,"0,00","0,00","0,00","0,00","0,00","0,06","0,16","0,21","0,06","0,21"
146,Dilane,Bakwa, FRA,"AT,LT",Strasbourg, Ligue 1,21,2002,16,10,910.0,10.1,1,0,1,1,0,0,2,2,1.0,1.0,1.0,"2,0",36.0,22.0,76.0,"0,10","0,00","0,10","0,10","0,10","0,10","0,10","0,20","0,10","0,20"
147,Tommaso,Baldanzi, ITA,"LT,AT",Empoli, Serie A,20,2003,12,7,654.0,7.3,1,0,1,1,0,0,1,1,2.0,2.0,1.0,"3,0",17.0,27.0,32.0,"0,14","0,00","0,14","0,14","0,14","0,27","0,13","0,41","0,27","0,41"
148,Alejandro,Balde, ESP,ZG,Barcelona, La Liga,20,2003,16,13,1198.0,13.3,0,1,1,0,0,0,1,1,0.1,0.1,1.2,"1,3",61.0,38.0,120.0,"0,00","0,08","0,08","0,00","0,08","0,01","0,09","0,10","0,01","0,10"
149,George,Baldock, GRE,"ZG,LT",Sheffield Utd,Premier League,30,1993,9,8,654.0,7.3,0,1,1,0,0,0,3,3,0.0,0.0,0.7,"0,7",6.0,23.0,20.0,"0,00","0,14","0,14","0,00","0,14","0,00","0,09","0,09","0,00","0,09"
150,Carlos,Baleba, CMR,LT,Brighton,Premier League,19,2004,11,7,523.0,5.8,0,0,0,0,0,0,3,3,0.4,0.4,0.1,"0,5",2.0,24.0,2.0,"0,00","0,00","0,00","0,00","0,00","0,07","0,02","0,09","0,07","0,09"
